"Gene","VIF","CV","dominant_status","max_propagation","max_amplification","SYMBOL","pathway_noise_status"
"1",1.88521341209469,0.158054930123883,"UNCLASSIFIED",NA,NA,"A1BG","UNCLASSIFIED"
"10",2.1572138847319,0.499593995129193,"HIGH_CV_LOW_VIF",0.260335581938223,0.714285714285714,"NAT2","HIGH_CV_LOW_VIF"
"100",2.28576146831753,0.135231951560525,"MODERATE",1.13206052232031,0.258064516129032,"ADA","MODERATE"
"1000",1.58147673439627,0.105946586329304,"NOISY",0.846174506810341,0.201612903225806,"CDH2","NOISY"
"10000",2.02048694072244,0.190341605161953,"MODERATE",0.710774342363743,0.142857142857143,"AKT3","MODERATE"
"100009676",1.60655615578305,0.104971816779444,"UNCLASSIFIED",NA,NA,"ZBTB11-AS1","UNCLASSIFIED"
"10001",1.90987379202724,0.0551456891422054,"UNCLASSIFIED",NA,NA,"MED6","UNCLASSIFIED"
"10002",1.80300932742576,0.799754034752616,"UNCLASSIFIED",NA,NA,"NR2E3","UNCLASSIFIED"
"10003",1.32772810645467,0.464888028288121,"UNCLASSIFIED",NA,NA,"NAALAD2","UNCLASSIFIED"
"100033416",1.34739077329429,0.974403597590241,"UNCLASSIFIED",NA,NA,"SNORD116-4","UNCLASSIFIED"
"100033431",1.54306407605375,0.904508875391682,"UNCLASSIFIED",NA,NA,"SNORD116-20","UNCLASSIFIED"
"100033820",1.55406483648917,0.626841452422442,"UNCLASSIFIED",NA,NA,"SNORD116-28","UNCLASSIFIED"
"100037417",1.51733680329394,0.10290033815721,"UNCLASSIFIED",NA,NA,"DDTL","UNCLASSIFIED"
"100038246",1.10882190510368,1.18758942501483,"UNCLASSIFIED",NA,NA,"TLX1NB","UNCLASSIFIED"
"10004",1.42612046656992,0.344846414026446,"UNCLASSIFIED",NA,NA,"NAALADL1","UNCLASSIFIED"
"100048912",1.39817184530456,0.579021466215353,"UNCLASSIFIED",NA,NA,"CDKN2B-AS1","UNCLASSIFIED"
"100049587",2.05866508817975,0.592579582710801,"UNCLASSIFIED",NA,NA,"SIGLEC14","UNCLASSIFIED"
"10005",4.02438574443466,0.065858523831407,"STABLE",NA,-0.346153846153846,"ACOT8","STABLE"
"10006",2.49279674620521,0.0478198496022421,"UNCLASSIFIED",NA,NA,"ABI1","UNCLASSIFIED"
"10007",2.7001481759315,0.0808736733669958,"MODERATE",NA,-0.253333333333333,"GNPDA1","MODERATE"
"10008",1.2852728289689,0.143729754657705,"NOISE_AMPLIFICATION",0.979196309722505,0.367647058823529,"KCNE3","NOISE_AMPLIFICATION"
"10009",2.02573848880174,0.0750926368698318,"UNCLASSIFIED",NA,NA,"ZBTB33","UNCLASSIFIED"
"100093630",2.28274108913121,0.0992346581871084,"UNCLASSIFIED",NA,NA,"SNHG8","UNCLASSIFIED"
"1001",4.57225829909265,0.753762556338072,"NOISY",0.846174506810341,0.201612903225806,"CDH3","NOISY"
"10010",2.532990098287,0.0678116518814162,"STABLE",NA,-0.388888888888889,"TANK","STABLE"
"100101266",1.42707365638601,0.548572028035992,"UNCLASSIFIED",NA,NA,"HAVCR1P1","UNCLASSIFIED"
"100101267",1.90461773923689,0.050223973009013,"STABLE",NA,-0.769230769230769,"POM121C","STABLE"
"100101467",2.0727180831149,0.091345119864092,"UNCLASSIFIED",NA,NA,"ZSCAN30","UNCLASSIFIED"
"100101490",1.63242271593078,0.417861527335843,"UNCLASSIFIED",NA,NA,"MCTS2","UNCLASSIFIED"
