"Pathway","n_genes","mean_CV","mean_VIF","high_CV_genes","high_VIF_genes","Name","noise_status","propagation_score"
"04080",166,0.573710874687729,1.99543815885987,108,3,"Neuroactive ligand-receptor interaction - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.287511227617061
"04740",31,0.537972660864781,1.66029409605362,18,0,"Olfactory transduction - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.324022510315189
"04744",20,0.484857091972213,1.57690791638804,10,0,"Phototransduction - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.307473307054475
"00232",7,0.481577609092009,1.84983399313539,5,0,"Caffeine metabolism - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.260335581938223
"04340",52,0.468863234039679,1.99529855965658,26,2,"Hedgehog signaling pathway - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.234983998645485
"04742",24,0.462332499301594,2.1084495882006,14,1,"Taste transduction - Homo sapiens (human)","NOISY",0.974804767764199
"04974",68,0.442759365856619,2.2115767282032,30,1,"Protein digestion and absorption - Homo sapiens (human)","NOISY",0.979196309722505
"05217",52,0.41562195163431,1.9852520182036,24,2,"Basal cell carcinoma - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.20935475588152
"04060",215,0.403699182366933,2.42620608360294,98,12,"Cytokine-cytokine receptor interaction - Homo sapiens (human)","NOISY",0.979457412204187
"05322",104,0.399547106192601,2.11161639221966,47,1,"Systemic lupus erythematosus - Homo sapiens (human)","NOISY",0.843690218900224
"00524",5,0.398390574499511,2.02713497811647,2,0,"Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)","NOISY",0.807591468519876
"00053",24,0.38822252504003,1.75962022339784,9,0,"Ascorbate and aldarate metabolism - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.220628587849694
"04020",148,0.376081712061997,2.19809334375729,67,5,"Calcium signaling pathway - Homo sapiens (human)","NOISY",0.826662707992322
"00140",52,0.371879270531736,1.60262443621813,22,0,"Steroid hormone biosynthesis - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.232043928775539
"05410",70,0.368815401626481,2.16872579866896,23,3,"Hypertrophic cardiomyopathy - Homo sapiens (human)","NOISY",0.799859476453802
"05332",35,0.365365708099368,2.4168794446074,14,2,"Graft-versus-host disease - Homo sapiens (human)","NOISY",0.883044869669788
"05414",75,0.361940739472077,2.23882420818149,26,4,"Dilated cardiomyopathy - Homo sapiens (human)","NOISY",0.810321689457197
"00982",69,0.358307064889253,1.89671090456147,25,0,"Drug metabolism - cytochrome P450 - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.188909687832525
"04640",74,0.35767612610637,3.01352711836998,27,7,"Hematopoietic cell lineage - Homo sapiens (human)","NOISY",1.07786670561507
"00830",58,0.356458168825499,1.77884303609082,23,0,"Retinol metabolism - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.200387646123545
"00910",20,0.355319606296139,1.77073231939065,8,0,"Nitrogen metabolism - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.200662518216425
