"Gene","dominant_status","max_propagation","SYMBOL"
"10","HIGH_CV_LOW_VIF",0.260335581938223,"NAT2"
"100","MODERATE",1.13206052232031,"ADA"
"1000","NOISY",0.846174506810341,"CDH2"
"10000","MODERATE",0.710774342363743,"AKT3"
"10005","STABLE",NA,"ACOT8"
"10007","MODERATE",NA,"GNPDA1"
"10008","NOISY",0.979196309722505,"KCNE3"
"1001","NOISY",0.846174506810341,"CDH3"
"10010","STABLE",NA,"TANK"
"100101267","STABLE",NA,"POM121C"
"100133941","NOISY",1.07786670561507,"CD24"
"10015","STABLE",NA,"PDCD6IP"
"10019","MODERATE",NA,"SH2B3"
"1002","NOISY",0.846174506810341,"CDH4"
"10020","MODERATE",NA,"GNE"
"10023","NOISY",0.571492400747943,"FRAT1"
"10026","MODERATE",NA,"PIGK"
"1003","MODERATE",0.846174506810341,"CDH5"
"10038","STABLE",NA,"PARP2"
"10039","STABLE",NA,"PARP3"
"10053","STABLE",NA,"AP1M2"
"10054","STABLE",NA,"UBA2"
"10055","STABLE",NA,"SAE1"
"10056","STABLE",NA,"FARSB"
"10057","NOISY",0.720412874779587,"ABCC5"
"10058","NOISY",0.720412874779587,"ABCB6"
"10059","STABLE",NA,"DNM1L"
"10060","NOISY",0.720412874779587,"ABCC9"
"10062","MODERATE",NA,"NR1H3"
"10063","MODERATE",NA,"COX17"
"10073","STABLE",NA,"SNUPN"
"10075","STABLE",NA,"HUWE1"
"10084","STABLE",NA,"PQBP1"
"10090","MODERATE",NA,"UST"
"10092","STABLE",NA,"ARPC5"
"10093","STABLE",NA,"ARPC4"
"10094","STABLE",NA,"ARPC3"
"10095","STABLE",NA,"ARPC1B"
"10105","MODERATE",NA,"PPIF"
"10109","STABLE",NA,"ARPC2"
"10111","MODERATE",NA,"RAD50"
"10113","STABLE",NA,"PREB"
"10125","MODERATE",NA,"RASGRP1"
"10126","STABLE",NA,"DNAL4"
"1013","NOISY",0.846174506810341,"CDH15"
"10130","STABLE",NA,"PDIA6"
"10134","STABLE",NA,"BCAP31"
"10135","MODERATE",NA,"NAMPT"
"10140","STABLE",NA,"TOB1"
"10152","MODERATE",NA,"ABI2"
"10154","MODERATE",NA,"PLXNC1"
"10157","MODERATE",NA,"AASS"
"10161","HIGH_CV_LOW_VIF",0.287511227617061,"LPAR6"
"10162","MODERATE",NA,"LPCAT3"
"10163","STABLE",NA,"WASF2"
"10164","MODERATE",NA,"CHST4"
"1017","MODERATE",NA,"CDK2"
"10170","HIGH_CV_LOW_VIF",0.200387646123545,"DHRS9"
"10171","STABLE",NA,"RCL1"
"10189","STABLE",NA,"ALYREF"
"1019","MODERATE",0.561297243210468,"CDK4"
"10193","STABLE",NA,"RNF41"
"10195","MODERATE",NA,"ALG3"
"10197","MODERATE",0.543680190403357,"PSME3"
"10199","STABLE",NA,"MPHOSPH10"
"102","MODERATE",NA,"ADAM10"
"1020","MODERATE",NA,"CDK5"
"10200","STABLE",NA,"MPHOSPH6"
"10201","MODERATE",NA,"NME6"
"10203","HIGH_CV_LOW_VIF",0.582490972296419,"CALCRL"
"10207","MODERATE",NA,"PATJ"
"10209","STABLE",NA,"EIF1"
"1021","MODERATE",0.561297243210468,"CDK6"
"10211","STABLE",NA,"FLOT1"
"10213","STABLE",NA,"PSMD14"
"1022","MODERATE",NA,"CDK7"
"10228","STABLE",NA,"STX6"
"10229","MODERATE",NA,"COQ7"
"10235","MODERATE",0.703349554802048,"RASGRP2"
"10239","STABLE",NA,"AP3S2"
"10242","NOISY",0.582490972296419,"KCNMB2"
"10248","STABLE",NA,"POP7"
"10250","STABLE",NA,"SRRM1"
"10251","NOISY",0.6728100853926,"SPRY3"
"10252","NOISY",0.6728100853926,"SPRY1"
"10253","NOISY",0.6728100853926,"SPRY2"
"10254","NOISY",0.6728100853926,"STAM2"
"10257","HIGH_CV_LOW_VIF",0.720412874779587,"ABCC4"
"1026","MODERATE",0.561297243210468,"CDKN1A"
"10262","STABLE",NA,"SF3B4"
"10266","NOISY",0.582490972296419,"RAMP2"
"10267","NOISY",0.582490972296419,"RAMP1"
"10268","NOISY",0.582490972296419,"RAMP3"
"1027","MODERATE",NA,"CDKN1B"
"10273","STABLE",NA,"STUB1"
"10274","MODERATE",NA,"STAG1"
"10277","STABLE",NA,"UBE4B"
"1028","MODERATE",NA,"CDKN1C"
"10282","STABLE",NA,"BET1"
"10284","STABLE",NA,"SAP18"
"10285","STABLE",NA,"SMNDC1"
"10286","STABLE",NA,"BCAS2"
"10288","MODERATE",NA,"LILRB2"
"10289","STABLE",NA,"EIF1B"
"1029","MODERATE",0.561297243210468,"CDKN2A"
"10291","STABLE",NA,"SF3A1"
"10294","STABLE",NA,"DNAJA2"
"10297","MODERATE",0.571492400747943,"APC2"
"10298","MODERATE",0.562375040707351,"PAK4"
"10299","STABLE",NA,"MARCHF6"
"103","MODERATE",NA,"ADAR"
"1030","MODERATE",0.60731139931989,"CDKN2B"
"1031","MODERATE",NA,"CDKN2C"
"10312","MODERATE",0.728070578577998,"TCIRG1"
"10316","HIGH_CV_LOW_VIF",0.287511227617061,"NMUR1"
"10319","MODERATE",0.748777924942639,"LAMC3"
"1032","MODERATE",NA,"CDKN2D"
"10326","MODERATE",NA,"SIRPB1"
"10327","MODERATE",0.121326075242719,"AKR1A1"
"10331","HIGH_CV_LOW_VIF",0.177961463994715,"B3GNT3"
"10332","MODERATE",NA,"CLEC4M"
"10333","MODERATE",NA,"TLR6"
"10335","NOISY",0.582490972296419,"IRAG1"
"10342","MODERATE",NA,"TFG"
"10344","NOISY",0.979457412204187,"CCL26"
"10347","NOISY",0.720412874779587,"ABCA7"
"10349","NOISY",0.720412874779587,"ABCA10"
"10350","NOISY",0.720412874779587,"ABCA9"
"10351","NOISY",0.720412874779587,"ABCA8"
"10352","MODERATE",NA,"WARS2"
"1036","MODERATE",0.744786231202995,"CDO1"
"10371","MODERATE",NA,"SEMA3A"
"10376","MODERATE",0.555289646968157,"TUBA1B"
"10379","MODERATE",0.6728100853926,"IRF9"
"10380","MODERATE",NA,"BPNT1"
"10381","MODERATE",0.555289646968157,"TUBB3"
"10382","MODERATE",0.555289646968157,"TUBB4A"
"10383","MODERATE",0.555289646968157,"TUBB4B"
"10390","MODERATE",NA,"CEPT1"
"103910","MODERATE",0.562375040707351,"MYL12B"
"10392","MODERATE",NA,"NOD1"
"10393","MODERATE",NA,"ANAPC10"
"10398","MODERATE",0.582490972296419,"MYL9"
"1040","MODERATE",NA,"CDS1"
"10400","MODERATE",NA,"PEMT"
"10401","MODERATE",0.6728100853926,"PIAS3"
"10402","HIGH_CV_LOW_VIF",0.177961463994715,"ST3GAL6"
"10411","MODERATE",NA,"RAPGEF3"
"10419","STABLE",NA,"PRMT5"
"10423","MODERATE",NA,"CDIPT"
"10427","STABLE",NA,"SEC24B"
"10434","MODERATE",NA,"LYPLA1"
"10436","STABLE",NA,"EMG1"
"10437","NOISY",0.543680190403357,"IFI30"
"10438","STABLE",NA,"C1D"
"10449","MODERATE",NA,"ACAA2"
"10450","STABLE",NA,"PPIE"
"10451","MODERATE",0.703349554802048,"VAV3"
"10452","MODERATE",NA,"TOMM40"
"10454","MODERATE",NA,"TAB1"
"10455","MODERATE",NA,"ECI2"
