"Gene","dominant_status","max_propagation","max_amplification","SYMBOL"
"10","HIGH_CV_LOW_VIF",0.260335581938223,0.714285714285714,"NAT2"
"100","MODERATE",1.13206052232031,0.258064516129032,"ADA"
"1000","NOISY",0.846174506810341,0.201612903225806,"CDH2"
"10000","MODERATE",0.710774342363743,0.142857142857143,"AKT3"
"10005","STABLE",NA,-0.346153846153846,"ACOT8"
"10007","MODERATE",NA,-0.253333333333333,"GNPDA1"
"10008","NOISE_AMPLIFICATION",0.979196309722505,0.367647058823529,"KCNE3"
"1001","NOISY",0.846174506810341,0.201612903225806,"CDH3"
"10010","STABLE",NA,-0.388888888888889,"TANK"
"100101267","STABLE",NA,-0.769230769230769,"POM121C"
"100133941","NOISE_AMPLIFICATION",1.07786670561507,0.337837837837838,"CD24"
"10015","STABLE",NA,-0.409326424870466,"PDCD6IP"
"10019","MODERATE",NA,-0.365853658536585,"SH2B3"
"1002","NOISY",0.846174506810341,0.201612903225806,"CDH4"
"10020","MODERATE",NA,-0.253333333333333,"GNE"
"10023","NOISY",0.571492400747943,-0.135714285714286,"FRAT1"
"10026","MODERATE",NA,-0.253333333333333,"PIGK"
"1003","MODERATE",0.846174506810341,0.201612903225806,"CDH5"
"10038","STABLE",NA,-0.606060606060606,"PARP2"
"10039","STABLE",NA,-0.606060606060606,"PARP3"
"10053","STABLE",NA,-0.563025210084034,"AP1M2"
"10054","STABLE",NA,-0.691729323308271,"UBA2"
"10055","STABLE",NA,-0.691729323308271,"SAE1"
"10056","STABLE",NA,-0.902439024390244,"FARSB"
"10057","NOISY",0.720412874779587,0.119047619047619,"ABCC5"
"10058","NOISY",0.720412874779587,0.119047619047619,"ABCB6"
"10059","STABLE",NA,-0.224719101123596,"DNM1L"
"10060","NOISY",0.720412874779587,0.119047619047619,"ABCC9"
"10062","MODERATE",NA,-0.0161290322580645,"NR1H3"
"10063","MODERATE",NA,-0.253333333333333,"COX17"
"10073","STABLE",NA,-0.769230769230769,"SNUPN"
"10075","STABLE",NA,-0.691729323308271,"HUWE1"
"10084","STABLE",NA,-0.921259842519685,"PQBP1"
"10090","MODERATE",NA,-0.181818181818182,"UST"
