"Gene","VIF","CV","cv_cluster","vif_cluster","CV_Level","VIF_Level","Category"
"64208",1.47595348918584,1.67480112552308,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"4747",3.11838909712316,1.66114601351857,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"84063",51.2522733467465,1.65571893500592,1,3,"High_CV","High_VIF","High_CV + High_VIF"
"50632",3.74643269913582,1.65026141294923,1,1,"High_CV","Medium_VIF","High_CV + Medium_VIF"
"93426",1.1017436032956,1.60643110659926,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"92737",1.22732156858391,1.60557243257531,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"7278",1.75114519147445,1.59803225185737,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"1113",54.7213411892962,1.58656534406631,1,3,"High_CV","High_VIF","High_CV + High_VIF"
"81033",1.17213564791099,1.58117360723018,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"655",2.09705752987826,1.58015333076458,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"90632",1.21385625069256,1.57853580855001,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"2913",1.21733964413458,1.56232503667852,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"10562",1.64445439066928,1.55735268820308,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"51252",2.09906346310402,1.55685642914263,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"7425",2.1337247666288,1.55113840408866,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"10232",1.22499558489597,1.55002813303099,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"6866",1.36175143015416,1.54386222762699,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"10321",1.03524294512202,1.53905509076963,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"57094",1.26636479461947,1.53798340085307,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"3769",2.5356759541529,1.53778713577048,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"51207",1.20735689967842,1.53742748794581,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"7179",2.12607403297724,1.53698707997544,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"1272",2.58993136177383,1.53415818639164,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"343263",1.23667436195332,1.53231750171715,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"3359",1.53373970531428,1.53102490131769,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"4111",1.91247564455824,1.53012010741967,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"793",3.28378166942689,1.52244961275144,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"7047",1.03528785788271,1.51362276633008,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"51146",1.12189532032123,1.51319225093698,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"1280",1.33518357137059,1.5112884197994,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"80258",1.36958077280889,1.50568097145131,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"3222",1.06973902544399,1.50291858188438,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"7031",1.15184652355658,1.50186905454797,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"3219",2.09155290118018,1.50105864325665,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"2676",1.15488263763598,1.50104448818574,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"339855",2.66216226152389,1.4957330816713,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"84634",1.90831107423928,1.49042930556439,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"127534",2.78796194966182,1.49014733544963,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"253868",1.70669490236421,1.48817205176432,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"78997",1.11009817358246,1.48629264759702,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"26074",2.36542309007882,1.48142719405436,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"10942",3.29944273746826,1.4751238612205,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
