"Pathway_ID","Description","n_genes","prop_Conduction","prop_Cancellation","mean_CV","mean_VIF"
"hsa04966","Collecting duct acid secretion",22,0.0454545454545455,0.0454545454545455,0.202303622211202,4.80916322338221
"hsa00561","Glycerolipid metabolism",58,0.0172413793103448,0.0517241379310345,0.220609716634748,3.2052525715195
"hsa04640","Hematopoietic cell lineage",84,0.0119047619047619,0.0952380952380952,0.341093800453606,2.93505363470172
"hsa05323","Rheumatoid arthritis",84,0.0119047619047619,0.0357142857142857,0.271599116171836,2.73434844159354
"hsa00564","Glycerophospholipid metabolism",92,0.0108695652173913,0.0326086956521739,0.201279220671415,2.77798986476627
"hsa04630","JAK-STAT signaling pathway",123,0.00813008130081301,0.0569105691056911,0.262414892762624,2.60634257500545
"hsa04613","Neutrophil extracellular trap formation",154,0.00649350649350649,0.142857142857143,0.30587955817546,2.72364137756947
"hsa04060","Cytokine-cytokine receptor interaction",232,0.00431034482758621,0.133620689655172,0.421927244963519,2.40714369411071
"hsa04145","Phagocytosis",234,0.00427350427350427,0.0769230769230769,0.222221987046242,2.59591353603701
"hsa04517","IgSF CAM signaling",277,0.0036101083032491,0.0902527075812274,0.276452864466891,2.56972061212305
"hsa00010","Glycolysis / Gluconeogenesis",61,0,0.0983606557377049,0.234334167832461,2.01776045525243
"hsa00020","Citrate cycle (TCA cycle)",29,0,0,0.0743757245624371,2.12072968481207
"hsa00030","Pentose phosphate pathway",28,0,0.0357142857142857,0.147288976196373,2.13013302964866
"hsa00040","Pentose and glucuronate interconversions",35,0,0.0857142857142857,0.333822427163046,1.72957203158007
"hsa00051","Fructose and mannose metabolism",35,0,0.0285714285714286,0.17053108140214,2.01548656509517
"hsa00052","Galactose metabolism",27,0,0.111111111111111,0.220715901614421,1.85449173221944
"hsa00053","Ascorbate and aldarate metabolism",29,0,0.103448275862069,0.350797839051451,1.7599838423276
"hsa00061","Fatty acid biosynthesis",15,0,0,0.15463983673396,2.94063156302411
"hsa00062","Fatty acid elongation",28,0,0.0357142857142857,0.196299796869063,2.0625309279526
"hsa00071","Fatty acid degradation",42,0,0.0238095238095238,0.162733477986786,2.61975835200858
"hsa00100","Steroid biosynthesis",19,0,0,0.151907042713796,1.59520300175201
"hsa00120","Primary bile acid biosynthesis",17,0,0,0.215456720370599,2.30425268654476
"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",12,0,0,0.122380326186537,1.91891168597388
"hsa00140","Steroid hormone biosynthesis",60,0,0.0833333333333333,0.354672498466606,1.62303729926775
"hsa00190","Oxidative phosphorylation",114,0,0.0263157894736842,0.107338896774022,2.92655495040105
"hsa00220","Arginine biosynthesis",20,0,0,0.17201805168768,1.94247920166121
"hsa00230","Purine metabolism",117,0,0.0683760683760684,0.22499827220427,2.23186917846964
"hsa00240","Pyrimidine metabolism",56,0,0.0178571428571429,0.155822759065174,2.24341572425711
"hsa00250","Alanine, aspartate and glutamate metabolism",35,0,0.0571428571428571,0.226339610703212,2.14135320269407
"hsa00260","Glycine, serine and threonine metabolism",39,0,0,0.177917469592651,2.1978307717567
"hsa00270","Cysteine and methionine metabolism",50,0,0.04,0.154855653957886,2.05593911597012
"hsa00280","Valine, leucine and isoleucine degradation",48,0,0,0.133891063956105,2.58274911121492
"hsa00310","Lysine degradation",61,0,0.0163934426229508,0.130714414912306,2.36233279090344
"hsa00330","Arginine and proline metabolism",48,0,0.0833333333333333,0.251498922872033,1.94969302062341
"hsa00340","Histidine metabolism",22,0,0.0454545454545455,0.314179952269689,2.02355452211721
"hsa00350","Tyrosine metabolism",31,0,0.129032258064516,0.316421046307037,2.0424309449972
"hsa00360","Phenylalanine metabolism",15,0,0.0666666666666667,0.272553034631335,1.99526143123637
"hsa00380","Tryptophan metabolism",38,0,0,0.196076623767432,2.19472894387992
"hsa00410","beta-Alanine metabolism",29,0,0.0689655172413793,0.238791920908101,2.25435254360734
"hsa00430","Taurine and hypotaurine metabolism",14,0,0.142857142857143,0.327897546673469,2.1529698237695
"hsa00450","Selenocompound metabolism",16,0,0,0.105264280031725,1.96091176600364
"hsa00480","Glutathione metabolism",52,0,0.0192307692307692,0.188694516799157,1.97497843560748
"hsa00500","Starch and sucrose metabolism",31,0,0.0967741935483871,0.265730862293365,2.06506242469323
"hsa00510","N-Glycan biosynthesis",55,0,0.0181818181818182,0.131147473033764,2.27708573035771
"hsa00511","Other glycan degradation",17,0,0,0.0971399662690799,1.87295196014921
"hsa00512","Mucin type O-glycan biosynthesis",30,0,0.133333333333333,0.351599896871703,2.0112790571582
"hsa00513","Various types of N-glycan biosynthesis",43,0,0.0697674418604651,0.175348751729641,2.20737413932091
"hsa00514","Other types of O-glycan biosynthesis",44,0,0.0909090909090909,0.25300869885908,2.00288545739958
"hsa00515","Mannose type O-glycan biosynthesis",22,0,0,0.202128242494056,1.99725430366083
"hsa00520","Amino sugar and nucleotide sugar metabolism",37,0,0.027027027027027,0.159028432692987,2.07156558732428
"hsa00531","Glycosaminoglycan degradation",16,0,0,0.0960167300014628,1.86860469290613
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",21,0,0,0.14771897123765,2.15956342632403
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,0,0.142857142857143,0.240398428739528,2.03887529567071
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",21,0,0.0952380952380952,0.273349349054572,2.45470866853945
"hsa00541","Biosynthesis of various nucleotide sugars",19,0,0,0.104933751533282,2.05812768601837
"hsa00562","Inositol phosphate metabolism",77,0,0.025974025974026,0.172673666031834,2.283301146532
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",30,0,0,0.0970659170474882,2.13402453715174
"hsa00565","Ether lipid metabolism",41,0,0.0487804878048781,0.265632303370391,1.86922609453571
"hsa00590","Arachidonic acid metabolism",50,0,0.02,0.289121538903868,2.03404154200254
"hsa00591","Linoleic acid metabolism",21,0,0.0476190476190476,0.349798546437117,1.82691827374101
"hsa00592","alpha-Linolenic acid metabolism",17,0,0,0.273703379448068,1.82488861506208
"hsa00600","Sphingolipid metabolism",51,0,0.0588235294117647,0.208941751675266,2.05013413900302
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",24,0,0.0833333333333333,0.330346671849086,1.88049933093381
"hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",13,0,0.0769230769230769,0.265486502756438,1.89990263526802
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",15,0,0.0666666666666667,0.260065601895919,1.9593894383193
"hsa00620","Pyruvate metabolism",47,0,0.0638297872340425,0.179495090804561,2.16127978606239
"hsa00630","Glyoxylate and dicarboxylate metabolism",31,0,0,0.121599449377093,2.3761600663314
"hsa00640","Propanoate metabolism",31,0,0.0645161290322581,0.151412310935597,2.29383600812412
"hsa00650","Butanoate metabolism",24,0,0.0416666666666667,0.238748872216128,2.61749198424899
"hsa00670","One carbon pool by folate",36,0,0,0.133073806817506,2.22835754503533
"hsa00730","Thiamine metabolism",13,0,0.153846153846154,0.35110511135794,1.80168204662226
"hsa00760","Nicotinate and nicotinamide metabolism",34,0,0,0.176065772000038,2.51041714807887
"hsa00770","Pantothenate and CoA biosynthesis",20,0,0,0.147878489936438,2.20806112005346
"hsa00785","Lipoic acid metabolism",18,0,0,0.120061695546763,1.95023661885888
"hsa00790","Folate biosynthesis",23,0,0.0869565217391304,0.233942388611945,1.93929057618378
"hsa00830","Retinol metabolism",60,0,0.0666666666666667,0.352904314944803,1.78837716833275
"hsa00860","Porphyrin metabolism",43,0,0.0697674418604651,0.275571119904915,2.00221748452762
"hsa00900","Terpenoid backbone biosynthesis",22,0,0,0.0800887936175877,1.93886783258911
"hsa00910","Nitrogen metabolism",14,0,0.214285714285714,0.398456760507666,1.69257931921888
"hsa00920","Sulfur metabolism",10,0,0,0.0780517651140725,2.13707591762879
"hsa00980","Metabolism of xenobiotics by cytochrome P450",70,0,0.0714285714285714,0.357819368170213,1.79939651462009
"hsa00982","Drug metabolism - cytochrome P450",65,0,0.0615384615384615,0.354233984009236,1.90155659061386
"hsa00983","Drug metabolism - other enzymes",76,0,0.0394736842105263,0.259763080627044,2.06585371409512
"hsa01040","Biosynthesis of unsaturated fatty acids",27,0,0.037037037037037,0.203689334680003,2.01426227690098
"hsa01200","Carbon metabolism",109,0,0.018348623853211,0.137908571019002,2.14918038927717
"hsa01210","2-Oxocarboxylic acid metabolism",30,0,0,0.108496643202382,2.16000807239726
"hsa01212","Fatty acid metabolism",55,0,0.0181818181818182,0.170876884098081,2.39651656708578
"hsa01230","Biosynthesis of amino acids",68,0,0.0147058823529412,0.14897842117091,2.04915603130869
"hsa01232","Nucleotide metabolism",80,0,0.025,0.166716030735792,2.3047419972125
"hsa01240","Biosynthesis of cofactors",148,0,0.027027027027027,0.183287362314716,2.14702400282644
"hsa01250","Biosynthesis of nucleotide sugars",37,0,0.0540540540540541,0.164636386930265,2.06442117250911
"hsa01521","EGFR tyrosine kinase inhibitor resistance",77,0,0.038961038961039,0.17303026914625,2.22486550056372
"hsa01522","Endocrine resistance",92,0,0.0217391304347826,0.158064334345299,2.25275605933644
"hsa01523","Antifolate resistance",29,0,0.0344827586206897,0.180364782227176,1.96976720505246
"hsa01524","Platinum drug resistance",70,0,0,0.154451175173245,2.4458347207296
"hsa02010","ABC transporters",43,0,0.0697674418604651,0.283772748874291,2.53060010528086
"hsa03008","Ribosome biogenesis in eukaryotes",75,0,0.0133333333333333,0.0971023933040484,2.53026311164424
"hsa03010","Ribosome",171,0,0,0.0733956878640864,3.51703819694923
"hsa03013","Nucleocytoplasmic transport",103,0,0.0194174757281553,0.0952202977109983,2.40986784157649
"hsa03015","mRNA surveillance pathway",88,0,0.0227272727272727,0.110717463372892,2.28070994651485
"hsa03018","RNA degradation",75,0,0.0133333333333333,0.105418492033365,2.20639901649371
"hsa03020","RNA polymerase",34,0,0,0.0728576564701979,2.62092493936247
"hsa03022","Basal transcription factors",42,0,0.0238095238095238,0.139861588208764,2.25044105227144
"hsa03030","DNA replication",36,0,0.0277777777777778,0.117366690113399,2.64007521926628
"hsa03040","Spliceosome",142,0,0,0.0668511083372371,2.73906204684244
"hsa03050","Proteasome",44,0,0,0.0704921374705825,2.94350523618896
"hsa03060","Protein export",30,0,0,0.0555355663594174,2.25374578912728
"hsa03082","ATP-dependent chromatin remodeling",107,0,0.0654205607476635,0.157225751059634,2.39911011163857
"hsa03083","Polycomb repressive complex",82,0,0.0121951219512195,0.108813988083304,2.31146768957197
"hsa03250","Viral life cycle - HIV-1",66,0,0,0.134805280678009,2.67599558208478
"hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",12,0,0.166666666666667,0.521158178504874,2.54524046451859
"hsa03272","Virion - Hepatitis viruses",40,0,0.1,0.251146534524293,1.88248437516306
"hsa03273","Virion - Lassa virus and SFTS virus",15,0,0.0666666666666667,0.295711192012283,1.82857466129091
"hsa03320","PPAR signaling pathway",67,0,0.0149253731343284,0.193970034760493,2.31411628519422
"hsa03410","Base excision repair",44,0,0,0.0863910280542323,2.25204649504999
"hsa03420","Nucleotide excision repair",61,0,0.0163934426229508,0.0883274236244336,2.43590378164238
"hsa03430","Mismatch repair",23,0,0.0434782608695652,0.116905882580304,2.38399886360124
"hsa03440","Homologous recombination",40,0,0.025,0.157105976892371,2.63444813624646
"hsa03450","Non-homologous end-joining",12,0,0,0.0802940528069371,2.36279425901041
"hsa03460","Fanconi anemia pathway",52,0,0.0192307692307692,0.152598278470122,2.51408004952958
"hsa04010","MAPK signaling pathway",268,0,0.0559701492537313,0.228354253888319,2.19326163872194
"hsa04012","ErbB signaling pathway",81,0,0.0864197530864197,0.224552476836829,2.22601721718111
"hsa04014","Ras signaling pathway",204,0,0.0637254901960784,0.238917507971273,2.42240982401844
"hsa04015","Rap1 signaling pathway",190,0,0.0473684210526316,0.215074027013521,2.23396965188859
"hsa04020","Calcium signaling pathway",210,0,0.138095238095238,0.372216506242707,2.28103188602914
"hsa04022","cGMP-PKG signaling pathway",148,0,0.0540540540540541,0.240547276778456,2.30609434534427
"hsa04024","cAMP signaling pathway",179,0,0.139664804469274,0.348063958280764,2.28059650183706
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",92,0,0.173913043478261,0.470374624364861,2.18791993623741
"hsa04062","Chemokine signaling pathway",180,0,0.0944444444444444,0.280125371774894,2.48339987049907
"hsa04064","NF-kappa B signaling pathway",103,0,0,0.194600237405305,2.21124020380821
"hsa04066","HIF-1 signaling pathway",102,0,0.0588235294117647,0.186346173118483,2.3706606820458
"hsa04068","FoxO signaling pathway",123,0,0.016260162601626,0.155652099886302,2.3489332122616
"hsa04070","Phosphatidylinositol signaling system",93,0,0.032258064516129,0.168472352712825,2.20679299965818
"hsa04071","Sphingolipid signaling pathway",120,0,0.0333333333333333,0.166117229874798,2.22638744891565
"hsa04072","Phospholipase D signaling pathway",133,0,0.0827067669172932,0.239458950051749,2.30438127180535
"hsa04080","Neuroactive ligand-receptor interaction",215,0,0.311627906976744,0.582470275710015,1.91161673588482
"hsa04081","Hormone signaling",149,0,0.161073825503356,0.375270075102575,2.05729711338136
"hsa04082","Neuroactive ligand signaling",130,0,0.261538461538462,0.530094306099333,1.90612189217923
"hsa04110","Cell cycle",157,0,0.0191082802547771,0.155702885310312,2.54531477302538
"hsa04114","Oocyte meiosis",113,0,0.0353982300884956,0.182011321277489,2.30675969448268
"hsa04115","p53 signaling pathway",73,0,0.0136986301369863,0.163656328467205,2.14551681683415
"hsa04120","Ubiquitin mediated proteolysis",140,0,0.00714285714285714,0.0918236814093892,2.41121739474877
"hsa04130","SNARE interactions in vesicular transport",33,0,0.0303030303030303,0.102875242272906,2.27973207030024
"hsa04136","Autophagy - other",31,0,0,0.0765170165277495,2.35645336050035
"hsa04137","Mitophagy - animal",101,0,0.0099009900990099,0.0920838946074761,2.1955261816891
"hsa04140","Autophagy - animal",160,0,0.00625,0.0897872258897989,2.25104045354168
"hsa04141","Protein processing in endoplasmic reticulum",165,0,0,0.0840775130131452,2.21301656730417
"hsa04142","Lysosome biogenesis",242,0,0.0206611570247934,0.122137988163394,2.09930263078361
"hsa04144","Endocytosis",241,0,0.020746887966805,0.131717648383308,2.39978393469104
"hsa04146","Peroxisome",83,0,0.0120481927710843,0.141616703894863,2.3974611891202
"hsa04148","Efferocytosis",154,0,0.0649350649350649,0.226215610279687,2.2888016149073
"hsa04150","mTOR signaling pathway",146,0,0.0684931506849315,0.188938501840219,2.10253372710535
"hsa04151","PI3K-Akt signaling pathway",309,0,0.0647249190938511,0.2470822572988,2.3402639867451
"hsa04152","AMPK signaling pathway",112,0,0.0178571428571429,0.136792193028981,2.1146392392285
"hsa04156","Integrated stress response (ISR) signaling pathway",51,0,0,0.0865818907160974,2.23156286641467
"hsa04210","Apoptosis",132,0,0.0303030303030303,0.159749961444865,2.44179965410037
"hsa04211","Longevity regulating pathway",81,0,0,0.115844474550849,2.31679105043723
"hsa04213","Longevity regulating pathway - multiple species",55,0,0,0.112808532255176,2.25781724266645
"hsa04215","Apoptosis - multiple species",31,0,0.032258064516129,0.15495594323806,2.23111096717889
"hsa04216","Ferroptosis",40,0,0.05,0.14599175599011,2.33418289936552
"hsa04217","Necroptosis",132,0,0.0606060606060606,0.190092464730116,2.28819906733944
"hsa04218","Cellular senescence",151,0,0.0132450331125828,0.14538914447547,2.21253039989507
"hsa04260","Cardiac muscle contraction",67,0,0.134328358208955,0.349298856417953,2.55191700709462
"hsa04261","Adrenergic signaling in cardiomyocytes",133,0,0.112781954887218,0.309603757153684,2.22650935009941
"hsa04270","Vascular smooth muscle contraction",114,0,0.0701754385964912,0.254394364295668,2.31917723300649
"hsa04310","Wnt signaling pathway",164,0,0.121951219512195,0.296835148880847,2.04053465132508
"hsa04330","Notch signaling pathway",60,0,0,0.12952024296423,2.28838778831874
"hsa04340","Hedgehog signaling pathway",53,0,0.0566037735849057,0.21476162566235,2.12731053391305
"hsa04350","TGF-beta signaling pathway",106,0,0.0377358490566038,0.239596825868688,2.34492495967769
"hsa04360","Axon guidance",171,0,0.0350877192982456,0.24025373482814,2.2276412481888
"hsa04370","VEGF signaling pathway",53,0,0,0.128489152551004,2.3113610228944
"hsa04371","Apelin signaling pathway",126,0,0.0396825396825397,0.205517362075956,2.2777253054095
"hsa04380","Osteoclast differentiation",131,0,0.0229007633587786,0.2079561060471,2.4385572911401
"hsa04382","Cornified envelope formation",120,0,0.15,0.379990485091793,1.92949249872479
"hsa04390","Hippo signaling pathway",152,0,0.111842105263158,0.300535422847887,2.06106957376852
"hsa04392","Hippo signaling pathway - multiple species",28,0,0.0714285714285714,0.196802722184714,2.24558337449791
"hsa04510","Focal adhesion",193,0,0.0673575129533679,0.22940877695278,2.33792341278244
"hsa04512","ECM-receptor interaction",81,0,0.148148148148148,0.364171733830879,2.20982017792705
"hsa04514","Cell adhesion molecule (CAM) interaction",143,0,0.104895104895105,0.354064859878769,2.56526399456388
"hsa04518","Integrin signaling",149,0,0.0738255033557047,0.260028974551972,2.33744361220435
"hsa04519","Cadherin signaling",324,0,0.160493827160494,0.369675937523535,2.22900228198443
"hsa04520","Adherens junction",90,0,0.0222222222222222,0.142097150611838,2.44338863672469
"hsa04530","Tight junction",157,0,0.0700636942675159,0.199652251546291,2.19314201684264
"hsa04540","Gap junction",78,0,0.0897435897435897,0.25318458875173,2.19549368689868
"hsa04550","Signaling pathways regulating pluripotency of stem cells",130,0,0.107692307692308,0.307209875045013,2.13249482073412
"hsa04610","Complement and coagulation cascades",84,0,0.0119047619047619,0.193982165056723,2.41221228239196
"hsa04611","Platelet activation",115,0,0.0260869565217391,0.18751738276854,2.46788468242887
"hsa04612","Antigen processing and presentation",69,0,0.115942028985507,0.249778822497797,2.16265319244507
"hsa04614","Renin-angiotensin system",17,0,0.0588235294117647,0.266137145898214,1.67375975868384
"hsa04620","Toll-like receptor signaling pathway",93,0,0.021505376344086,0.187509148387057,2.16992768195456
"hsa04621","NOD-like receptor signaling pathway",155,0,0.0258064516129032,0.182231990333107,2.33003419216943
"hsa04622","RIG-I-like receptor signaling pathway",55,0,0.0181818181818182,0.144319036152003,2.07721667023841
"hsa04623","Cytosolic DNA-sensing pathway",67,0,0,0.158986199669739,2.32120839547662
"hsa04625","C-type lectin receptor signaling pathway",99,0,0.0404040404040404,0.222023485143269,2.14575067131134
"hsa04650","Natural killer cell mediated cytotoxicity",104,0,0.105769230769231,0.273488427806101,2.47909727066494
"hsa04657","IL-17 signaling pathway",76,0,0.0526315789473684,0.263387323579297,1.9399808617441
"hsa04658","Th1 and Th2 cell differentiation",84,0,0.0119047619047619,0.200229428447274,2.52696074719727
"hsa04659","Th17 cell differentiation",100,0,0.02,0.201066900514415,2.44991193905956
"hsa04660","T cell receptor signaling pathway",113,0,0.0176991150442478,0.185750334629679,2.73895166787916
"hsa04662","B cell receptor signaling pathway",81,0,0.037037037037037,0.203803748185389,2.4468230902869
"hsa04664","Fc epsilon RI signaling pathway",58,0,0.0172413793103448,0.158768558669525,2.42046339356109
"hsa04666","Fc gamma R-mediated phagosome formation",91,0,0,0.143820452377879,2.86715249215443
