"ENTREZID","SYMBOL"
"196051","PLPP4"
"6521","SLC4A1"
"566","AZU1"
"1113","CHGA"
"84063","KIRREL2"
"3589","IL11"
"1414","CRYBB1"
"4146","MATN1"
"6328","SCN3A"
"340706","VWA2"
"4914","NTRK1"
"121601","ANO4"
"4680","CEACAM6"
"54854","FAM83E"
"64084","CLSTN2"
"114795","TMEM132B"
"222553","SLC35F1"
"55118","CRTAC1"
"29106","SCG3"
"23057","NMNAT2"
"79781","DRC11"
"2315","MLANA"
"154664","ABCA13"
"284578","SLC60A1-AS1"
"3577","CXCR1"
"3579","CXCR2"
"23205","ACSBG1"
"3208","HPCA"
"9464","HAND2"
"1404","HAPLN1"
"8532","CPZ"
"9840","TESPA1"
"126549","ANKLE1"
"196792","FAM24B"
"348938","NIPAL4"
"4102","MAGEA3"
"116154","PHACTR3"
"4105","MAGEA6"
"2134","EXTL1"
"26032","SUSD5"
"55423","SIRPG"
"57158","JPH2"
"64137","ABCG4"
"26191","PTPN22"
"2841","GPR18"
"137902","PXDNL"
"4915","NTRK2"
"26575","RGS17"
"79625","NDNF"
"2254","FGF9"
"24141","LAMP5"
"80332","ADAM33"
"6331","SCN5A"
"646","BNC1"
"197021","LCTL"
"285533","RNF175"
"83998","REG4"
"6547","SLC8A3"
"387357","THEMIS"
"51725","FBXO40"
"54511","HMGCLL1"
"273","AMPH"
"356","FASLG"
"4016","LOXL1"
"221336","BEND6"
"4604","MYBPC1"
"58538","MPP4"
"222663","SCUBE3"
"10021","HCN4"
"146909","KIF18B"
"84814","PLPP7"
"53347","UBASH3A"
"22806","IKZF3"
"286527","TMSB15B"
"54900","LAX1"
"2735","GLI1"
"200150","PLD5"
"8516","ITGA8"
"23495","TNFRSF13B"
"10753","CAPN9"
"151888","BTLA"
"6657","SOX2"
"114614","MIR155HG"
"1134","CHRNA1"
"860","RUNX2"
"165904","XIRP1"
"941","CD80"
"151648","SGO1"
"8643","PTCH2"
"701","BUB1B"
"114780","PKD1L2"
"944","TNFSF8"
"91851","CHRDL1"
"29125","C11orf21"
"284367","SIGLEC17P"
"1296","COL8A2"
"53831","GPR84"
"9363","RAB33A"
"84659","RNASE7"
"2660","MSTN"
"64063","PRSS22"
"6504","SLAMF1"
"115650","TNFRSF13C"
"85352","SHISAL1"
"81930","KIF18A"
"100130331","LOC100130331"
"4049","LTA"
"845","CASQ2"
"8115","TCL1A"
"5655","KLK10"
"57214","CEMIP"
"50615","IL21R"
"26228","STAP1"
"154075","SAMD3"
"5350","PLN"
"5837","PYGM"
"3003","GZMK"
"939","CD27"
"256691","MAMDC2"
"100233209","PCED1B-AS1"
"338773","TMEM119"
"29909","GPR171"
