"Gene","VIF","CV","CV_category","VIF_category","SYMBOL"
"100130331",5.33265192798988,0.792626500911203,"MEDIUM","LOW","LOC100130331"
"10021",7.26282680294372,1.33433424765504,"HIGH","MEDIUM","HCN4"
"100233209",5.072442168779,0.502455941481078,"LOW","LOW","PCED1B-AS1"
"10753",6.19135561355743,1.2579205088188,"HIGH","MEDIUM","CAPN9"
"1113",54.7213411892962,1.58656534406631,"HIGH","HIGH","CHGA"
"1134",5.96107979243665,1.2332976092269,"HIGH","LOW","CHRNA1"
"114614",6.01800224232427,0.446956481057935,"LOW","LOW","MIR155HG"
"114780",5.7118985490405,0.622592489049801,"MEDIUM","LOW","PKD1L2"
"114795",16.9598678598384,0.808587976648094,"MEDIUM","HIGH","TMEM132B"
"115650",5.35192484922772,0.88128064582558,"MEDIUM","LOW","TNFRSF13C"
"116154",10.9525633303652,1.1499332149572,"HIGH","HIGH","PHACTR3"
"121601",23.8963146144191,0.946457487994382,"HIGH","HIGH","ANO4"
"126549",11.3362945233641,0.475991039866415,"LOW","HIGH","ANKLE1"
"1296",5.57502686603928,0.396190159974864,"LOW","LOW","COL8A2"
"137902",8.77867997409327,0.592866586818516,"MEDIUM","MEDIUM","PXDNL"
"1404",11.6637608942342,1.3157125555303,"HIGH","HIGH","HAPLN1"
"1414",36.9288980784907,0.627918333882139,"MEDIUM","HIGH","CRYBB1"
"146909",7.15935739475195,0.326016481116505,"LOW","MEDIUM","KIF18B"
"151648",5.87379175036477,0.375900582778417,"LOW","LOW","SGO1"
"151888",6.15592073292827,0.613049225964087,"MEDIUM","MEDIUM","BTLA"
"154075",5.17421480047898,0.381423098292857,"LOW","LOW","SAMD3"
"154664",14.2443490457793,0.79509012499923,"MEDIUM","HIGH","ABCA13"
"165904",5.88717648506373,0.832315898013673,"MEDIUM","LOW","XIRP1"
"196051",79.0923052836175,0.995605255533913,"HIGH","HIGH","PLPP4"
"196792",11.2830857714544,0.480471348679267,"LOW","HIGH","FAM24B"
"197021",7.8673961658124,0.914353157072601,"HIGH","MEDIUM","LCTL"
"200150",6.30850024928994,1.39228667907872,"HIGH","MEDIUM","PLD5"
"2134",9.98478815894286,0.838378428644393,"MEDIUM","HIGH","EXTL1"
"221336",7.40712228333057,0.919807624457133,"HIGH","MEDIUM","BEND6"
"222553",16.5758669677247,0.592758971565476,"MEDIUM","HIGH","SLC35F1"
"222663",7.28366053618078,0.67012682237118,"MEDIUM","MEDIUM","SCUBE3"
"2254",8.14299207356691,1.41668914786184,"HIGH","MEDIUM","FGF9"
"22806",6.72234588464622,0.693766355218144,"MEDIUM","MEDIUM","IKZF3"
"23057",15.421783405666,0.571615963057053,"MEDIUM","HIGH","NMNAT2"
"2315",14.5014763617194,0.717057904976622,"MEDIUM","HIGH","MLANA"
"23205",12.5431883168856,0.591191431284366,"MEDIUM","HIGH","ACSBG1"
"23495",6.2570962310575,0.88886647523012,"HIGH","MEDIUM","TNFRSF13B"
"24141",8.05666456849995,0.779394351728715,"MEDIUM","MEDIUM","LAMP5"
"256691",5.0765281068364,0.55075616204299,"LOW","LOW","MAMDC2"
"26032",9.70260631345899,0.613907390032551,"MEDIUM","HIGH","SUSD5"
"26191",9.17237485017944,0.348913850300217,"LOW","MEDIUM","PTPN22"
"26228",5.18842803010852,0.904806115155383,"HIGH","LOW","STAP1"
"26575",8.28493404746761,0.989301390616554,"HIGH","MEDIUM","RGS17"
"2660",5.44031702709716,0.786502553186785,"MEDIUM","LOW","MSTN"
"273",7.55804056287079,0.686202665082215,"MEDIUM","MEDIUM","AMPH"
"2735",6.35260772863952,0.393590950066773,"LOW","MEDIUM","GLI1"
"2841",9.16985815700754,0.468548950853828,"LOW","MEDIUM","GPR18"
"284367",5.61080951344855,0.588282630891483,"MEDIUM","LOW","SIGLEC17P"
"284578",14.0691191219745,1.30253136784497,"HIGH","HIGH","SLC60A1-AS1"
"285533",7.79744688653558,0.684738894938279,"MEDIUM","MEDIUM","RNF175"
"286527",6.48103574464773,0.618015875425488,"MEDIUM","MEDIUM","TMSB15B"
"29106",15.7249424832362,1.27556924655783,"HIGH","HIGH","SCG3"
"29125",5.68468096127333,0.436503269989887,"LOW","LOW","C11orf21"
"29909",5.01539220022103,0.450700657399154,"LOW","LOW","GPR171"
"3003",5.09102712912007,0.346709910723975,"LOW","LOW","GZMK"
"3208",12.4198841483965,1.30180164316573,"HIGH","HIGH","HPCA"
"338773",5.02479157145775,0.374551751225301,"LOW","LOW","TMEM119"
"340706",29.9936135411043,1.29740743662178,"HIGH","HIGH","VWA2"
"348938",11.2280917142255,1.14483960859656,"HIGH","HIGH","NIPAL4"
"356",7.51321375064277,0.442927316840831,"LOW","MEDIUM","FASLG"
"3577",14.0547545543143,0.61363983265862,"MEDIUM","HIGH","CXCR1"
"3579",13.7076443224203,0.603037276829404,"MEDIUM","HIGH","CXCR2"
"3589",45.555866192965,1.00064466682877,"HIGH","HIGH","IL11"
"387357",7.62436931326414,0.441093346633866,"LOW","MEDIUM","THEMIS"
"4016",7.48185194581389,0.343985424697085,"LOW","MEDIUM","LOXL1"
"4049",5.30896528564614,0.501286810949863,"LOW","LOW","LTA"
"4102",10.9945204717342,1.32005206848585,"HIGH","HIGH","MAGEA3"
"4105",10.6865148213869,1.32555745867079,"HIGH","HIGH","MAGEA6"
"4146",35.7644523776862,1.00504393278696,"HIGH","HIGH","MATN1"
"4604",7.37698986164755,0.954577828776533,"HIGH","MEDIUM","MYBPC1"
"4680",21.5953064395418,1.33717136661918,"HIGH","HIGH","CEACAM6"
"4914",24.120150606698,0.951466374664182,"HIGH","HIGH","NTRK1"
"4915",8.72342164469579,0.597050972164298,"MEDIUM","MEDIUM","NTRK2"
"50615",5.22853531943531,0.451939790436605,"LOW","LOW","IL21R"
"51725",7.61350517526507,1.44609258714814,"HIGH","MEDIUM","FBXO40"
"53347",6.74091066034444,0.445536911666475,"LOW","MEDIUM","UBASH3A"
"5350",5.16491582204487,0.483703274352774,"LOW","LOW","PLN"
"53831",5.52768505260014,0.687015876051961,"MEDIUM","LOW","GPR84"
"54511",7.56236348923552,0.987475942198159,"HIGH","MEDIUM","HMGCLL1"
"54854",19.03900392585,1.30589279260968,"HIGH","HIGH","FAM83E"
"54900",6.42887846712074,0.420473218401915,"LOW","MEDIUM","LAX1"
"55118",16.3470436227157,0.955272873136865,"HIGH","HIGH","CRTAC1"
"55423",9.37446809560493,0.441417617102114,"LOW","HIGH","SIRPG"
"5655",5.2704641880755,1.26154292368447,"HIGH","LOW","KLK10"
"566",61.9973662462818,1.25172427645793,"HIGH","HIGH","AZU1"
"57158",9.3361421386018,0.421745606019189,"LOW","HIGH","JPH2"
"57214",5.24450745829069,0.507299514352784,"LOW","LOW","CEMIP"
