"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000473093 (pp) 9606.ENSP00000480637","false","pp","9606.ENSP00000473093 (pp) 9606.ENSP00000480637","0.999","0.047","0.0","0.424","0.0",,"0.0","0.999","0.053"
"pp","9606.ENSP00000400892 (pp) 9606.ENSP00000487358","false","pp","9606.ENSP00000400892 (pp) 9606.ENSP00000487358","0.188","0.0","0.72","0.0","0.0",,"0.0","0.871","0.48"
"pp","9606.ENSP00000352565 (pp) 9606.ENSP00000360493","false","pp","9606.ENSP00000352565 (pp) 9606.ENSP00000360493","0.042","0.0","0.7","0.0","0.0",,"0.0","0.885","0.632"
"pp","9606.ENSP00000295683 (pp) 9606.ENSP00000319635","false","pp","9606.ENSP00000295683 (pp) 9606.ENSP00000319635","0.771","0.052","0.9","0.0","0.0",,"0.0","0.999","0.98"
"pp","9606.ENSP00000371790 (pp) 9606.ENSP00000431418","false","pp","9606.ENSP00000371790 (pp) 9606.ENSP00000431418","0.045","0.0","0.65","0.0","0.0",,"0.0","0.887","0.691"
"pp","9606.ENSP00000277120 (pp) 9606.ENSP00000431418","false","pp","9606.ENSP00000277120 (pp) 9606.ENSP00000431418","0.067","0.064","0.5","0.095","0.0",,"0.0","0.989","0.978"
"pp","9606.ENSP00000277120 (pp) 9606.ENSP00000371790","false","pp","9606.ENSP00000277120 (pp) 9606.ENSP00000371790","0.084","0.0","0.65","0.0","0.0",,"0.0","0.773","0.351"
"pp","9606.ENSP00000264563 (pp) 9606.ENSP00000338010","false","pp","9606.ENSP00000264563 (pp) 9606.ENSP00000338010","0.044","0.0","0.65","0.0","0.0",,"0.0","0.743","0.294"
"pp","9606.ENSP00000264246 (pp) 9606.ENSP00000266557","false","pp","9606.ENSP00000264246 (pp) 9606.ENSP00000266557","0.067","0.0","0.0","0.0","0.0",,"0.0","0.989","0.989"
"pp","9606.ENSP00000264246 (pp) 9606.ENSP00000356694","false","pp","9606.ENSP00000264246 (pp) 9606.ENSP00000356694","0.081","0.204","0.0","0.0","0.0",,"0.0","0.898","0.872"
