"source","target","stringdb..score","edge_propagation","source_status","target_status","name"
"9606.ENSP00000473093","9606.ENSP00000480637",0.999,0,"","","9606.ENSP00000473093 (pp) 9606.ENSP00000480637"
"9606.ENSP00000400892","9606.ENSP00000487358",0.871,0,"","","9606.ENSP00000400892 (pp) 9606.ENSP00000487358"
"9606.ENSP00000352565","9606.ENSP00000360493",0.885,0,"","","9606.ENSP00000352565 (pp) 9606.ENSP00000360493"
"9606.ENSP00000295683","9606.ENSP00000319635",0.999,0.979457412204187,"NOISY","NOISY","9606.ENSP00000295683 (pp) 9606.ENSP00000319635"
"9606.ENSP00000371790","9606.ENSP00000431418",0.887,0.561297243210468,"MODERATE","MODERATE","9606.ENSP00000371790 (pp) 9606.ENSP00000431418"
"9606.ENSP00000277120","9606.ENSP00000431418",0.989,0,"MODERATE","MODERATE","9606.ENSP00000277120 (pp) 9606.ENSP00000431418"
"9606.ENSP00000277120","9606.ENSP00000371790",0.773,0.561297243210468,"MODERATE","MODERATE","9606.ENSP00000277120 (pp) 9606.ENSP00000371790"
"9606.ENSP00000264563","9606.ENSP00000338010",0.743,1.02866205890963,"NOISY","NOISY","9606.ENSP00000264563 (pp) 9606.ENSP00000338010"
"9606.ENSP00000264246","9606.ENSP00000266557",0.989,0.931251140936987,"NOISY","NOISY","9606.ENSP00000264246 (pp) 9606.ENSP00000266557"
"9606.ENSP00000264246","9606.ENSP00000356694",0.898,0.931251140936987,"NOISY","NOISY","9606.ENSP00000264246 (pp) 9606.ENSP00000356694"
"9606.ENSP00000264246","9606.ENSP00000333919",0.788,0.883044869669788,"NOISY","","9606.ENSP00000264246 (pp) 9606.ENSP00000333919"
"9606.ENSP00000264246","9606.ENSP00000438406",0.7,0.883044869669788,"NOISY","","9606.ENSP00000264246 (pp) 9606.ENSP00000438406"
"9606.ENSP00000287598","9606.ENSP00000465992",0.838,0,"MODERATE","","9606.ENSP00000287598 (pp) 9606.ENSP00000465992"
"9606.ENSP00000263753","9606.ENSP00000287598",0.974,0,"MODERATE","MODERATE","9606.ENSP00000263753 (pp) 9606.ENSP00000287598"
"9606.ENSP00000263181","9606.ENSP00000287598",0.913,0,"","MODERATE","9606.ENSP00000263181 (pp) 9606.ENSP00000287598"
"9606.ENSP00000263181","9606.ENSP00000263753",0.862,0,"","MODERATE","9606.ENSP00000263181 (pp) 9606.ENSP00000263753"
"9606.ENSP00000263181","9606.ENSP00000465992",0.768,0,"","","9606.ENSP00000263181 (pp) 9606.ENSP00000465992"
"9606.ENSP00000261917","9606.ENSP00000328968",0.953,0,"","","9606.ENSP00000261917 (pp) 9606.ENSP00000328968"
"9606.ENSP00000261652","9606.ENSP00000291232",0.989,1.13206052232031,"NOISY","NOISY","9606.ENSP00000261652 (pp) 9606.ENSP00000291232"
"9606.ENSP00000261448","9606.ENSP00000350132",0.771,0.826662707992322,"","NOISY","9606.ENSP00000261448 (pp) 9606.ENSP00000350132"
"9606.ENSP00000261448","9606.ENSP00000328968",0.708,0,"","","9606.ENSP00000261448 (pp) 9606.ENSP00000328968"
"9606.ENSP00000231009","9606.ENSP00000266557",0.712,0.979457412204187,"","NOISY","9606.ENSP00000231009 (pp) 9606.ENSP00000266557"
"9606.ENSP00000228682","9606.ENSP00000361266",0.842,0.234983998645485,"HIGH_CV_LOW_VIF","HIGH_CV_LOW_VIF","9606.ENSP00000228682 (pp) 9606.ENSP00000361266"
"9606.ENSP00000228682","9606.ENSP00000323588",0.772,0.234983998645485,"HIGH_CV_LOW_VIF","","9606.ENSP00000228682 (pp) 9606.ENSP00000323588"
"9606.ENSP00000266557","9606.ENSP00000333919",0.836,0.979457412204187,"NOISY","","9606.ENSP00000266557 (pp) 9606.ENSP00000333919"
"9606.ENSP00000266557","9606.ENSP00000291232",0.78,1.05575896726225,"NOISY","NOISY","9606.ENSP00000266557 (pp) 9606.ENSP00000291232"
"9606.ENSP00000266557","9606.ENSP00000338010",0.732,0.979457412204187,"NOISY","NOISY","9606.ENSP00000266557 (pp) 9606.ENSP00000338010"
"9606.ENSP00000223795","9606.ENSP00000266557",0.927,0.979457412204187,"NOISY","NOISY","9606.ENSP00000223795 (pp) 9606.ENSP00000266557"
"9606.ENSP00000216492","9606.ENSP00000220478",0.99,0,"","","9606.ENSP00000216492 (pp) 9606.ENSP00000220478"
